x,y
-15057,19063
-15065,19076
-15075,19087
-15091,19100
-15122,19118
-15201,19147
-15296,19164
-15325,19164
-15337,19162
-15350,19157
-15356,19153
-15362,19148
-15365,19144
-15368,19139
-15371,19131
-15372,19123
-15372,19115
-15371,19107
-15368,19099
-15362,19089
-15354,19079
-15345,19071
-15329,19062
-15277,19043
-15220,19043
-15189,19049
-15171,19056
-15158,19064
-15147,19073
-15138,19084
-15132,19094
-15128,19105
-15126,19117
-15126,19129
-15128,19141
-15132,19152
-15141,19168
-15154,19184
-15172,19199
-15204,19218
-15295,19251
-15385,19267
-15407,19267
-15420,19265
-15433,19260
-15439,19256
-15443,19252
-15447,19247
-15452,19238
-15454,19232
-15456,19222
-15456,19216
-15455,19211
-15454,19207
-15451,19202
